DOB,NO_OF_CHLD,NO_OF_VHCL,GNDR_CD,EDU_DESC,MRRY_DESC,OCPN_DESC,ADDR_PRVC,ADDR_ZIP,SCB_PROD_HLDNG_CNT,SCB_PROD_SUB_GRP_HLDNG_CNT,PROD_GRP_WLTH_HLDNG_CNT,PROD_GRP_LENDING_HLDNG_CNT,PROD_GRP_PYMT_HLDNG_CNT,PROD_GRP_SRVC_HLDNG_CNT,PROD_GRP_BSNS_LENDING_HLDNG_CNT,DPST_ACCT_CNT,DPST_END_BAL,DPST_TXN_CNT,DPST_TXN_CNT_AVG,DPST_TXN_CNT_MIN,DPST_TXN_CNT_MAX,DPST_INFLW_CNT,DPST_INFLW_CNT_MIN,DPST_INFLW_CNT_MAX,DPST_OTFLW_CNT,DPST_OTFLW_CNT_MIN,DPST_OTFLW_CNT_MAX,DPST_INFLW_AMT_TOT,DPST_OTFLW_AMT_TOT,DOB_prev,NO_OF_CHLD_prev,NO_OF_VHCL_prev,GNDR_CD_prev,EDU_DESC_prev,MRRY_DESC_prev,OCPN_DESC_prev,ADDR_PRVC_prev,ADDR_ZIP_prev,SCB_PROD_HLDNG_CNT,SCB_PROD_SUB_GRP_HLDNG_CNT,PROD_GRP_WLTH_HLDNG_CNT,PROD_GRP_LENDING_HLDNG_CNT,PROD_GRP_PYMT_HLDNG_CNT,PROD_GRP_SRVC_HLDNG_CNT,PROD_GRP_BSNS_LENDING_HLDNG_CNT,DPST_ACCT_CNT_prev,DPST_END_BAL_prev,DPST_TXN_CNT_prev,DPST_TXN_CNT_AVG_prev,DPST_TXN_CNT_MIN_prev,DPST_TXN_CNT_MAX_prev,DPST_INFLW_CNT_prev,DPST_INFLW_CNT_MIN_prev,DPST_INFLW_CNT_MAX_prev,DPST_OTFLW_CNT_prev,DPST_OTFLW_CNT_MIN_prev,DPST_OTFLW_CNT_MAX_prev,DPST_INFLW_AMT_TOT_prev,DPST_OTFLW_AMT_TOT_prev,DOB_match,NO_OF_CHLD_match,NO_OF_VHCL_match,GNDR_CD_match,EDU_DESC_match,MRRY_DESC_match,OCPN_DESC_match,ADDR_PRVC_match,ADDR_ZIP_match,cust_id
1/1/1975,1,1,F,bachelor's degree,divorce,commerce entrepreneur,ราชบุรี,70120,6,4,6,3,1,null,null,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1/1/1975,0,1,F,others,married - registered,commerce entrepreneur,ราชบุรี,70120,8,5,5,3,2,null,null,1,5022.04,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,266
1/2/1997,0,null,F,others,single,"student, university student",กรุงเทพมหานคร,10230,4,4,5,null,1,1,null,1,330.29,10,1.67,1,3,4,1,1,6,1,2,2840.2,2735,1/2/1997,0,null,F,others,others,"student, university student",กรุงเทพมหานคร,10230,5,5,5,null,3,1,null,1,1216.3,65,2.6,1,5,21,1,2,44,1,3,27521.34,27765.77,TRUE,TRUE,null,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,267
1/10/1992,0,0,F,high school,married,industrial business employee,นครราชสีมา,30130,2,2,1,null,1,1,null,1,302.76,66,4.4,2,13,20,1,4,46,1,11,35927,37625,1/10/1992,0,0,F,high school,married,commerce entrepreneur,นครราชสีมา,30130,null,null,null,null,null,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,268
1/10/1976,0,0,F,others,married - registered,commerce employee,นนทบุรี,11110,7,6,6,1,2,1,null,3,1250.62,21,1.75,1,4,5,1,2,16,1,3,1304.15,1304.5,1/10/1976,0,0,F,bachelor's degree,single,commerce employee,นนทบุรี,11110,7,6,5,1,3,1,null,2,8055.51,45,2.65,1,9,7,1,2,38,1,8,40814,44564.93,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,269
1/1/1986,0,0,F,others,single,service business entrepreneur,พระนครศรีอยุธยา,13170,6,5,3,1,2,null,null,1,45.81,2,1,1,1,1,1,1,1,1,1,3000,3000,1/1/1986,0,0,F,others,married - non registered,service business entrepreneur,พระนครศรีอยุธยา,13170,8,7,3,1,5,null,null,1,1.07,3,1,1,1,1,1,1,2,1,1,3000,3100,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,270
1/11/1983,0,0,F,bachelor's degree,married - registered,industrial business employee,สมุทรสาคร,74000,2,2,1,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1/11/1983,0,0,F,bachelor's degree,married,"employee of company, store, office",สมุทรสาคร,74000,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,271
1/1/1993,0,null,F,null,single,commerce employee,กรุงเทพมหานคร,10520,4,4,1,null,3,1,null,1,7440.06,156,5.38,1,12,23,1,3,133,1,9,81812.45,82959.77,1/1/1993,0,null,F,null,single,commerce employee,กรุงเทพมหานคร,10310,4,4,1,null,3,1,null,1,12389.36,120,4.29,1,10,13,1,1,107,1,9,59796.33,57185.98,TRUE,TRUE,null,TRUE,null,TRUE,TRUE,TRUE,FALSE,272
1/4/1980,0,null,F,bachelor's degree,single,service business employee,นนทบุรี,11140,2,2,1,null,1,null,null,1,72530.95,9,1.8,1,3,5,1,2,4,1,1,43773.16,3575,1/4/1980,0,null,F,bachelor's degree,single,service business employee,กรุงเทพมหานคร,10310,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,TRUE,TRUE,null,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,273
1/5/1981,0,null,M,bachelor's degree,married,industrial business employee,กรุงเทพมหานคร,10160,3,3,1,null,3,1,null,1,821.39,90,3.33,1,9,13,1,2,77,1,7,77998.05,78705.99,1/5/1981,0,null,M,bachelor's degree,married - registered,industrial business employee,กรุงเทพมหานคร,10160,5,5,1,1,5,1,null,1,672.5,45,2.5,1,5,14,1,3,31,1,5,52041,83368.5,TRUE,TRUE,null,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,274
1/9/1985,0,1,F,high school,single,commerce entrepreneur,สิงห์บุรี,16110,2,2,1,null,1,null,null,1,0.63,0,0,0,0,0,0,0,0,0,0,0,0,1/9/1985,0,1,F,high school,single,"employee of company, store, office",สิงห์บุรี,16110,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,275
1/5/1975,1,null,F,high school,married,agricultural/ agro industry entrepreneur,อุทัยธานี,61160,1,1,1,null,null,null,null,1,366.16,0,0,0,0,0,0,0,0,0,0,0,0,1/5/1975,1,null,F,high school,married,industrial business employee,ปทุมธานี,12000,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,TRUE,TRUE,null,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,276
1/11/1985,0,0,M,less than high school,married - registered,service business employee,นครปฐม,73110,5,5,1,null,5,null,null,1,1594.79,28,1.75,1,7,6,1,1,22,1,6,27028,29096,1/11/1985,0,0,M,less than high school,single,industrial business employee,นครปฐม,73110,5,5,1,null,5,null,null,1,5897.93,31,1.82,1,6,5,1,2,26,1,5,22349.8,23547,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,277
1/5/1974,0,0,F,less than high school,single,service business employee,ชลบุรี,20160,4,4,1,2,3,1,null,1,0,195,6.96,1,16,98,1,10,97,1,8,54004.35,54004.35,1/5/1974,0,0,F,less than high school,married - registered,service business employee,ชลบุรี,20160,5,5,1,2,4,2,null,1,3768.02,108,4.32,1,13,35,1,7,73,1,8,48926.08,63464.97,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,278
1/1/1966,1,2,M,master's degree,married,commerce employee,ปทุมธานี,12130,5,5,1,2,4,1,null,1,445.58,62,2.82,1,11,20,1,2,42,1,9,17200,17078.6,1/1/1966,0,2,M,master's degree,married,commerce employee,ปทุมธานี,12130,6,6,1,1,5,1,null,1,62895.42,15,1.25,1,3,3,1,1,12,1,2,90000,27218,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,279
1/7/1994,0,0,M,high school,married,service business employee,สุราษฎร์ธานี,84130,4,4,1,null,3,null,null,1,5.33,0,0,0,0,0,0,0,0,0,0,0,0,1/7/1994,0,0,M,high school,single,service business employee,นครศรีธรรมราช,80160,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,280
1/5/1974,0,1,F,bachelor's degree,married,government employee,นครราชสีมา,30170,4,4,1,null,3,1,null,1,4648.1,29,2.07,1,6,5,1,1,24,1,5,24427.17,14099,1/5/1974,0,1,F,bachelor's degree,married - registered,government employee,นครราชสีมา,30170,5,5,1,null,3,1,null,1,6596.91,76,2.71,1,7,18,1,3,58,1,4,16825,10529.35,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,281
1/8/1989,0,1,F,bachelor's degree,single,service business entrepreneur,สงขลา,90110,5,5,1,null,4,1,null,1,0,2,2,2,2,1,1,1,1,1,1,1000,1000,1/8/1989,0,1,F,bachelor's degree,single,commerce entrepreneur,สงขลา,90110,5,5,1,null,5,1,null,1,10310.82,331,10.68,2,33,120,1,7,211,2,26,210067.01,205824.71,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,282
1/5/1969,0,1,F,bachelor's degree,single,commerce entrepreneur,นนทบุรี,11130,3,3,4,null,2,1,null,4,332878.27,117,4.03,1,9,18,1,2,99,1,9,49917,50224.78,1/5/1969,0,1,F,bachelor's degree,single,service business employee,นนทบุรี,11130,5,4,5,null,4,1,null,4,193181.94,88,3.14,1,10,26,1,5,62,1,5,73775.68,86721.22,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,283
1/10/2000,0,0,F,high school,single,commerce employee,กรุงเทพมหานคร,10170,3,3,3,null,1,1,null,2,3554912.56,1,1,1,1,1,1,1,0,0,0,43027.08,0,1/10/2000,0,0,F,high school,single,"student, university student",กรุงเทพมหานคร,10170,2,2,1,null,1,null,null,1,3165417.19,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,284
1/8/1983,0,0,M,less than high school,single,industrial business employee,กำแพงเพชร,62170,2,2,1,null,1,1,null,1,6001.88,41,3.15,1,7,15,1,3,26,1,5,16800,11800,1/8/1983,0,0,M,less than high school,single,unemployed,กำแพงเพชร,62170,3,3,1,null,2,1,null,1,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,285
1/5/1992,0,0,F,less than high school,single,commerce employee,เพชรบูรณ์,67160,4,4,2,null,3,1,null,2,464.07,38,2.53,1,7,15,1,4,23,1,6,61987,61907.64,1/5/1992,0,0,F,less than high school,single,commerce employee,สมุทรปราการ,10280,3,3,2,null,2,1,null,2,3246.65,9,1,1,1,4,1,1,5,1,1,4550,2815,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,286
1/6/1979,0,null,F,others,single,industrial business employee,กาญจนบุรี,71130,3,3,1,null,2,1,null,1,300.39,49,2.88,1,8,20,1,4,29,1,5,14744,14744.41,1/6/1979,0,null,F,others,others,industrial business employee,กาญจนบุรี,71120,3,3,1,null,2,1,null,1,500,84,3.11,1,9,22,1,3,62,1,7,39250,40780.71,TRUE,TRUE,null,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,287
1/12/1995,0,0,M,vocational certificate,married,agricultural/ agro industry entrepreneur,เพชรบูรณ์,67280,3,3,1,null,2,1,null,1,8.83,0,0,0,0,0,0,0,0,0,0,0,0,1/12/1995,0,0,M,vocational certificate,single,industrial business employee,พระนครศรีอยุธยา,13160,3,3,1,null,3,1,null,1,73.72,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,288
1/7/1985,0,0,F,vocational certificate,single,commerce entrepreneur,ปราจีนบุรี,25000,4,4,3,null,3,1,null,2,5000,126,4.67,1,16,78,1,10,48,1,7,229375.6,235111.56,1/7/1985,0,0,F,vocational certificate,single,freelance,เพชรบูรณ์,67140,3,3,1,null,2,2,null,1,37430,89,3.3,1,12,68,1,9,21,1,3,193200.7,188597,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,289
1/8/1977,0,0,F,vocational certificate/ diploma,married,service business employee,กาฬสินธุ์,46110,4,4,1,null,4,null,null,1,12158.05,72,3,1,16,3,1,1,69,1,16,29200,29508.08,1/8/1977,1,0,F,vocational certificate/ diploma,married,service business employee,กาฬสินธุ์,46110,3,3,1,null,3,null,null,1,10159.59,12,1.2,1,3,3,1,1,9,1,2,25000,17539.86,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,290
1/8/1991,0,0,F,others,single,service business employee,ปทุมธานี,12150,2,2,2,null,1,null,null,2,13013.18,65,5,1,27,31,1,21,34,1,6,83251,77370,1/8/1991,0,0,F,others,married - registered,service business employee,ปทุมธานี,12150,2,2,2,null,1,1,null,2,10751.68,44,1.91,1,4,13,1,2,31,1,3,33570,38820,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,291
1/6/1980,0,0,F,high school,married,industrial business employee,สมุทรสาคร,74000,5,5,2,null,3,1,null,1,3406.56,36,1.89,1,5,9,1,2,27,1,4,33326.25,31349.61,1/6/1980,0,0,F,high school,married,"employee of company, store, office",สมุทรสาคร,74000,4,4,2,null,2,1,null,1,32602.98,18,1.64,1,3,6,1,2,12,1,2,20174,14423.14,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,292
1/3/1975,0,null,F,others,single,freelance,ฉะเชิงเทรา,24120,3,3,1,null,2,1,null,1,14096.04,78,3.12,1,17,4,1,1,74,1,16,146910,149242.34,1/3/1975,0,null,F,others,single,industrial business employee,กรุงเทพมหานคร,10120,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,TRUE,TRUE,null,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,293
1/6/1992,0,0,F,bachelor's degree,single,government employee,กรุงเทพมหานคร,10120,5,5,4,1,2,1,null,1,0,15,3,2,7,7,1,3,8,1,4,85138.53,85138.53,1/6/1992,0,0,F,bachelor's degree,single,government employee,กรุงเทพมหานคร,10400,4,4,2,1,3,1,null,2,0,15,3,1,4,7,1,2,8,1,2,11440,11441,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,294
1/8/1985,1,0,F,bachelor's degree,married - registered,government employee,เลย,42000,null,null,null,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1/8/1985,0,0,F,bachelor's degree,married - registered,government employee,เลย,42000,2,2,null,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,295
1/4/1970,0,0,M,high school,single,service business entrepreneur,กรุงเทพมหานคร,10230,4,4,2,null,5,1,null,2,23521.26,32,1.78,1,5,5,1,1,27,1,5,13800,23753,1/4/1970,0,0,M,high school,single,commerce employee,กรุงเทพมหานคร,10240,5,5,2,null,6,null,null,2,1055.37,13,1.44,1,3,6,1,2,7,1,2,17038,18240,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,296
1/4/1982,0,0,M,high school,single,industrial business employee,ชัยภูมิ,36150,2,2,1,null,1,null,null,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1/4/1982,0,0,M,high school,single,"employee of company, store, office",ชลบุรี,20000,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,297
1/9/1975,0,0,F,bachelor's degree,married - registered,commerce employee,กรุงเทพมหานคร,10160,2,2,2,null,1,null,null,2,1.8,5,2.5,2,3,2,1,1,3,1,2,3560,3580,1/9/1975,0,0,F,bachelor's degree,married - registered,commerce entrepreneur,กรุงเทพมหานคร,10160,8,7,4,6,1,null,null,2,14.9,35,2.69,1,7,15,1,4,20,1,6,418520,419581.89,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,298
1/1/1960,0,null,M,null,married,unemployed,กรุงเทพมหานคร,10250,3,3,4,null,1,null,null,1,3.17,0,0,0,0,0,0,0,0,0,0,0,0,1/1/1960,0,null,M,null,null,others,พิษณุโลก,65000,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,TRUE,TRUE,null,TRUE,null,null,FALSE,FALSE,FALSE,299
1/9/1970,0,0,M,bachelor's degree,single,lawyer and legal practitioner,กรุงเทพมหานคร,10250,3,3,1,null,2,null,null,1,18178.41,10,1.67,1,3,7,1,2,3,1,1,27100,9000,1/9/1970,0,0,M,bachelor's degree,single,commerce employee,กรุงเทพมหานคร,10250,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,300
1/10/1999,0,null,F,others,single,"student, university student",กรุงเทพมหานคร,10250,2,2,1,null,1,1,null,1,655.22,58,2.52,1,7,12,1,1,46,1,7,20451,19878.4,1/10/1999,0,null,F,others,others,"student, university student",กรุงเทพมหานคร,10250,3,3,2,null,3,1,null,2,331.3,28,2.15,1,7,11,1,3,17,1,4,9840,9514.5,TRUE,TRUE,null,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,301
1/4/1990,0,1,F,bachelor's degree,single,dentist,กรุงเทพมหานคร,10330,3,3,1,1,1,2,null,1,10171.12,12,2.4,1,3,6,1,2,6,1,2,202584.21,197801.85,1/4/1990,0,1,F,bachelor's degree,single,dentist,กรุงเทพมหานคร,10150,3,3,1,1,2,1,null,1,1875.27,2,2,2,2,1,1,1,1,1,1,60000,60664.32,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,302
1/10/1979,1,2,F,vocational certificate/ diploma,single,service business employee,เพชรบูรณ์,67000,3,3,1,null,2,null,null,1,6.89,0,0,0,0,0,0,0,0,0,0,0,0,1/10/1979,1,2,F,vocational certificate/ diploma,married,housewife/househusband,เพชรบูรณ์,67110,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,303
1/6/1969,1,2,M,less than high school,widow,service business entrepreneur,พังงา,82170,3,3,1,null,2,1,null,1,2000,2,2,2,2,2,2,2,0,0,0,2000,0,1/6/1969,1,2,M,less than high school,widow,industrial entrepreneur,พังงา,82000,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,304
1/6/1974,0,1,F,master's degree,single,government employee,กรุงเทพมหานคร,10400,2,2,null,4,1,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1/6/1974,0,1,F,master's degree,single,police officer,กรุงเทพมหานคร,10400,3,3,null,2,1,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,305
1/5/1990,0,0,M,high school,single,freelance,กรุงเทพมหานคร,10150,3,3,1,null,2,null,null,1,21887.13,23,1.64,1,5,10,1,4,13,1,4,25350,12663.23,1/5/1990,0,0,M,high school,single,freelance,สมุทรปราการ,10270,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,306
1/4/1972,0,null,F,bachelor's degree,single,commerce entrepreneur,สมุทรสาคร,74110,5,5,2,null,5,1,null,2,754513.68,35,2.33,1,7,7,1,2,28,1,6,701569,302393.4,1/4/1972,0,null,F,bachelor's degree,single,commerce entrepreneur,กรุงเทพมหานคร,10150,6,6,3,null,6,1,null,2,91805.99,21,1.62,1,5,1,1,1,20,1,5,150000,245157.5,TRUE,TRUE,null,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,307
1/9/1998,0,null,F,others,single,"student, university student",นนทบุรี,11120,2,2,2,null,1,1,null,2,12737.5,33,2.06,1,4,2,1,1,31,1,4,17512.53,14621.7,1/9/1998,0,null,F,others,single,"student, university student",พิษณุโลก,65190,5,5,1,null,4,1,null,1,686.21,97,3.88,1,11,32,1,4,65,1,7,15823.33,16427.5,TRUE,TRUE,null,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,308
1/3/1996,0,0,F,high school,single,commerce employee,ชลบุรี,20230,3,3,2,null,2,1,null,2,0.33,8,2.67,1,5,1,1,1,7,1,5,1133.7,1150,1/3/1996,0,0,F,high school,single,commerce employee,กรุงเทพมหานคร,10230,1,1,1,null,null,1,null,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,309
1/1/1971,0,0,M,high school,single,freelance,ปทุมธานี,12000,4,4,1,null,3,1,null,1,1397,11,1.83,1,4,4,1,2,7,1,4,2760,2630,1/1/1971,0,0,M,high school,single,freelance,สุพรรณบุรี,72150,4,4,1,null,3,1,null,1,248.01,5,1,1,1,3,1,1,2,1,1,1200,1000,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,310
1/12/1982,0,1,F,master's degree,married,financial institution employee,กรุงเทพมหานคร,10700,4,4,2,2,1,1,null,1,24025.33,119,4.25,1,11,3,1,2,116,1,11,33236,22516,1/12/1982,0,1,F,master's degree,married - registered,financial institution employee,กรุงเทพมหานคร,10700,4,4,2,2,2,1,null,1,2600,3,1,1,1,1,1,1,2,1,1,15300,15824.17,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,311
1/1/1995,0,0,F,high school,single,"student, university student",กรุงเทพมหานคร,10530,4,4,2,null,3,1,null,2,545.48,75,3.13,1,6,33,1,3,42,1,4,25815.29,26700.79,1/1/1995,0,0,F,high school,single,"student, university student",ปทุมธานี,12000,3,3,2,null,2,1,null,2,1813.74,86,3.07,1,10,12,1,4,74,1,7,24790,59249.28,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,312
1/10/1978,1,null,F,master's degree,married - registered,"teacher and executive in kindergarten; primary, secondary, vocational school",ชัยภูมิ,36210,5,4,6,null,1,null,null,1,22344.19,15,1.5,1,3,1,1,1,14,1,3,12000,10287.69,1/10/1978,0,null,F,master's degree,married - registered,"teacher and executive in kindergarten; primary, secondary, vocational school",ชัยภูมิ,36210,6,5,6,1,1,null,null,1,90.74,3,1.5,1,2,1,1,1,2,2,2,10000,10000,TRUE,FALSE,null,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,313
1/8/1998,0,0,M,high school,single,service business employee,กรุงเทพมหานคร,10400,2,2,2,null,1,null,null,2,11.75,0,0,0,0,0,0,0,0,0,0,0,0,1/8/1998,0,0,M,high school,single,soldier,กรุงเทพมหานคร,10160,3,3,1,null,3,1,null,1,11.4,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,314
1/9/1945,0,0,F,bachelor's degree,single,housewife/househusband,กรุงเทพมหานคร,10400,2,2,1,null,1,null,null,1,12.12,0,0,0,0,0,0,0,0,0,0,0,0,1/9/1945,0,0,F,bachelor's degree,single,"employee of company, store, office",กรุงเทพมหานคร,10500,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,315
1/6/1985,1,0,F,bachelor's degree,married,unemployed,น่าน,55000,4,4,1,1,3,null,null,1,1735.59,44,2.1,1,5,21,1,2,23,1,3,10334,11589,1/6/1985,0,0,F,bachelor's degree,married,unemployed,น่าน,55000,5,5,1,null,3,null,null,1,260.44,12,1.71,1,3,3,1,1,9,1,2,31300,32929,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,316
1/12/1964,0,0,F,less than high school,married,agricultural/ agro industry entrepreneur,ศรีสะเกษ,33140,4,4,1,null,3,1,null,1,541.21,17,1.55,1,3,5,1,1,12,1,2,4700,4619.68,1/12/1964,2,0,F,less than high school,married,freelance,ศรีสะเกษ,33140,4,4,1,null,3,1,null,1,4452.97,4,2,2,2,1,1,1,3,1,2,10000,5921.56,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,317
1/10/1993,0,null,M,null,single,freelance,สระบุรี,18130,3,3,1,null,3,1,null,1,500,71,4.44,1,11,19,1,3,52,1,8,6220.88,5820.88,1/10/1993,0,null,M,null,single,service business employee,กรุงเทพมหานคร,10510,3,3,1,null,3,1,null,1,0,4,2,2,2,2,1,1,2,1,1,185,185.27,TRUE,TRUE,null,TRUE,null,TRUE,FALSE,FALSE,FALSE,318
1/4/1991,0,0,M,high school,single,commerce entrepreneur,กรุงเทพมหานคร,10520,4,4,1,null,3,null,null,1,51.56,0,0,0,0,0,0,0,0,0,0,0,0,1/4/1991,0,0,M,high school,single,others,กรุงเทพมหานคร,10520,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,319
1/6/1972,0,null,F,bachelor's degree,single,unemployed,กรุงเทพมหานคร,10250,4,4,2,null,3,1,null,1,92.98,59,2.68,1,5,5,1,2,54,1,5,51112,51400.1,1/6/1972,0,null,F,bachelor's degree,single,housewife/househusband,กรุงเทพมหานคร,10400,4,4,2,null,3,1,null,1,15363.68,25,1.39,1,3,3,1,1,22,1,3,107000,91680,TRUE,TRUE,null,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,320
1/10/1993,0,0,M,high school,single,unemployed,อุดรธานี,41210,2,2,1,null,1,null,null,1,394.43,4,2,1,3,2,2,2,2,1,1,53952,53600,1/10/1993,0,0,M,high school,single,industrial business employee,ชลบุรี,20230,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,321
1/9/1979,0,null,F,others,single,service business employee,กรุงเทพมหานคร,10310,3,3,2,null,3,1,null,2,1150,18,1.8,1,4,9,1,3,9,1,1,4100.04,3062,1/9/1979,0,null,F,others,single,service business employee,กรุงเทพมหานคร,10800,4,4,1,null,4,1,null,1,1306.83,8,1.33,1,2,4,1,1,4,1,1,2680,1441,TRUE,TRUE,null,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,322
